iter	Passed	Remaining
147	1305	7517
148	1311	7492
149	1320	7485
150	1326	7460
151	1334	7447
152	1340	7422
153	1346	7396
154	1354	7386
155	1360	7362
156	1369	7353
157	1375	7332
158	1387	7336
159	1393	7318
160	1407	7332
161	1415	7323
162	1424	7314
163	1433	7309
164	1443	7302
165	1454	7309
166	1460	7285
167	1469	7275
168	1474	7251
169	1484	7246
170	1491	7228
171	1500	7224
172	1506	7203
173	1516	7197
174	1522	7178
175	1536	7193
176	1541	7169
177	1552	7167
178	1558	7146
179	1567	7140
180	1573	7119
181	1584	7120
182	1589	7097
183	1599	7092
184	1605	7072
185	1615	7070
186	1622	7053
187	1632	7049
188	1638	7028
189	1648	7026
190	1654	7006
191	1664	7002
192	1669	6982
193	1678	6974
194	1685	6956
195	1694	6949
196	1700	6932
197	1709	6925
198	1717	6914
199	1727	6909
200	1734	6894
201	1744	6889
202	1751	6875
203	1760	6869
204	1768	6857
205	1779	6857
206	1786	6844
207	1799	6850
208	1807	6840
209	1813	6822
210	1819	6802
211	1828	6795
212	1834	6776
213	1845	6776
214	1850	6756
215	1860	6751
216	1865	6731
217	1878	6736
218	1883	6717
219	1894	6715
220	1899	6695
221	1911	6699
222	1918	6684
223	1930	6687
224	1941	6686
225	1947	6671
226	1958	6670
227	1964	6650
228	1976	6653
229	1981	6635
230	1991	6630
231	1997	6613
232	2009	6614
233	2015	6596
234	2025	6593
235	2031	6577
236	2042	6575
237	2048	6558
238	2060	6560
239	2066	6542
240	2077	6542
241	2085	6532
242	2092	6519
243	2098	6501
244	2110	6504
245	2118	6494
246	2126	6484
247	2135	6476
248	2142	6462
249	2148	6444
250	2155	6432
251	2161	6417
252	2172	6414
253	2178	6397
254	2189	6395
255	2194	6378
256	2205	6375
257	2211	6358
258	2221	6355
259	2227	6339
260	2238	6338
261	2244	6321
262	2254	6316
263	2260	6301
264	2270	6298
265	2277	6283
266	2284	6272
267	2293	6264
268	2299	6250
269	2306	6235
270	2315	6229
271	2321	6212
272	2332	6211
273	2340	6200
274	2347	6189
275	2360	6192
276	2368	6182
277	2378	6178
278	2384	6162
279	2396	6163
280	2403	6149
281	2412	6141
282	2422	6138
283	2430	6128
284	2443	6129
285	2449	6114
286	2461	6115
287	2469	6106
288	2475	6090
289	2481	6075
290	2490	6068
291	2496	6052
292	2504	6043
293	2509	6027
294	2586	6181
295	2605	6196
296	2611	6180
297	2619	6171
298	2625	6156
299	2633	6145
300	2640	6130
301	2645	6115
302	2654	6105
303	2660	6091
304	2668	6081
305	2675	6066
306	2683	6057
307	2689	6043
308	2695	6027
309	2707	6025
310	2715	6017
311	2724	6007
312	2732	5998
313	2741	5988
314	2751	5983
315	2759	5973
316	2772	5973
317	2783	5969
318	2790	5957
319	2799	5948
320	2806	5936
321	2815	5929
322	2823	5918
323	2833	5911
324	2840	5899
325	2850	5893
326	2858	5883
327	2867	5874
328	2873	5861
329	2883	5854
330	2890	5841
331	2899	5833
332	2905	5820
333	2914	5812
334	2921	5799
335	2930	5790
336	2937	5779
337	2948	5774
338	2955	5762
339	2965	5757
340	2972	5744
341	2982	5738
342	2988	5724
343	2996	5714
344	3003	5701
345	3016	5700
346	3022	5688
347	3032	5681
348	3038	5667
349	3050	5664
350	3056	5650
351	3066	5644
352	3071	5630
353	3082	5624
354	3088	5610
355	3100	5609
356	3112	5605
357	3120	5595
358	3130	5589
359	3136	5576
360	3148	5573
361	3158	5567
362	3165	5555
363	3174	5545
364	3182	5536
365	3190	5526
366	3198	5516
367	3203	5502
368	3212	5493
369	3218	5479
370	3228	5473
371	3234	5460
372	3245	5456
373	3251	5442
374	3262	5436
375	3267	5423
376	3277	5415
377	3282	5402
378	3291	5392
379	3297	5379
380	3306	5371
381	3311	5357
382	3317	5344
383	3325	5334
384	3330	5320
385	3340	5314
386	3347	5303
387	3359	5298
388	3364	5284
389	3374	5277
390	3380	5264
391	3388	5254
392	3393	5241
393	3399	5228
394	3407	5219
395	3413	5206
396	3422	5198
397	3428	5185
398	3438	5178
399	3445	5168
400	3454	5160
401	3462	5151
402	3474	5147
403	3481	5136
404	3494	5134
405	3504	5127
406	3512	5118
407	3522	5110
408	3529	5100
409	3542	5098
410	3552	5090
411	3561	5082
412	3571	5076
413	3578	5065
414	3587	5057
415	3594	5046
416	3603	5037
417	3608	5024
418	3617	5016
419	3643	5031
420	3662	5037
421	3721	5097
422	3739	5101
423	3754	5100
424	3759	5086
425	3769	5078
426	3776	5068
427	3784	5057
428	3789	5044
429	3799	5036
430	3806	5024
431	3814	5015
432	3819	5001
433	3825	4989
434	3834	4980
435	3840	4968
436	3850	4960
437	3858	4950
438	3869	4944
439	3876	4933
440	3885	4925
441	3891	4913
442	3901	4905
443	3907	4893
444	3917	4885
445	3922	4872
446	3932	4865
447	3940	4854
448	3951	4848
449	3956	4836
450	3968	4830
451	3974	4818
452	3985	4813
453	3995	4805
454	4003	4794
455	4014	4789
456	4022	4779
457	4032	4771
458	4038	4759
459	4046	4749
460	4052	4737
461	4060	4728
462	4066	4716
463	4072	4704
464	4082	4696
465	4088	4684
466	4097	4676
467	4102	4663
468	4110	4654
469	4116	4642
470	4121	4629
471	4130	4621
472	4136	4609
473	4145	4600
474	4152	4589
475	4161	4580
476	4167	4569
477	4175	4560
478	4181	4547
479	4187	4536
480	4196	4527
481	4201	4515
482	4210	4506
483	4216	4495
484	4225	4487
485	4231	4475
486	4239	4466
487	4247	4456
488	4256	4447
489	4264	4438
490	4273	4430
491	4281	4420
492	4291	4413
493	4299	4403
494	4308	4395
495	4314	4384
496	4324	4376
497	4331	4366
498	4342	4360
499	4348	4348
500	4359	4341
501	4365	4331
502	4376	4323
503	4382	4312
504	4393	4306
505	4399	4295
506	4418	4296
507	4431	4292
508	4447	4290
509	4463	4288
510	4478	4285
511	4493	4282
512	4506	4277
513	4520	4273
514	4533	4269
515	4545	4263
516	4559	4259
517	4573	4255
518	4586	4250
519	4599	4245
520	4612	4240
521	4624	4234
522	4636	4228
523	4652	4225
524	4662	4218
525	4672	4210
526	4686	4206
527	4700	4202
528	4714	4197
529	4725	4190
530	4738	4185
531	4750	4179
532	4764	4174
533	4779	4170
534	4790	4163
535	4805	4159
536	4818	4154
537	4832	4149
538	4846	4144
539	4860	4140
540	4872	4133
541	4885	4128
542	4900	4123
543	4913	4118
544	4927	4113
545	4937	4105
546	4951	4100
547	4961	4092
548	4977	4088
549	4992	4084
550	5003	4077
551	5017	4071
552	5029	4065
553	5047	4063
554	5061	4058
555	5076	4054
556	5089	4047
557	5099	4039
558	5115	4035
559	5130	4031
560	5144	4025
561	5158	4020
562	5168	4011
563	5181	4005
564	5198	4002
565	5213	3997
566	5224	3989
567	5239	3984
568	5249	3976
569	5261	3969
570	5275	3963
571	5288	3957
572	5299	3949
573	5311	3941
574	5324	3935
575	5338	3929
576	5351	3922
577	5363	3916
578	5377	3910
579	5388	3901
580	5402	3896
581	5414	3888
582	5425	3880
583	5439	3874
584	5455	3870
585	5470	3865
586	5485	3859
587	5500	3853
588	5511	3845
589	5528	3841
590	5542	3835
591	5553	3827
592	5568	3822
593	5583	3816
594	5600	3812
595	5615	3806
596	5628	3799
597	5642	3793
598	5658	3788
599	5672	3781
600	5687	3775
601	5700	3768
602	5715	3763
603	5731	3757
604	5743	3749
605	5756	3742
606	5771	3736
607	5786	3730
608	5798	3722
609	5815	3717
610	5825	3709
611	5840	3702
612	5853	3695
613	5866	3687
614	5876	3678
615	5890	3672
616	5901	3663
617	5917	3657
618	5931	3650
619	5940	3641
620	5954	3633
621	5970	3628
622	5983	3620
623	5996	3613
624	6008	3604
625	6027	3601
626	6037	3591
627	6051	3584
628	6065	3577
629	6080	3570
630	6096	3565
631	6112	3559
632	6128	3553
633	6139	3544
634	6154	3537
635	6169	3530
636	6182	3522
637	6196	3515
638	6209	3508
639	6220	3499
640	6236	3493
641	6249	3484
642	6263	3477
643	6277	3469
644	6291	3462
645	6303	3454
646	6319	3448
647	6335	3441
648	6349	3433
649	6364	3426
650	6378	3419
651	6391	3411
652	6402	3401
653	6415	3394
654	6430	3387
655	6443	3378
656	6457	3371
657	6468	3361
658	6482	3354
659	6495	3346
660	6510	3339
661	6526	3332
662	6539	3324
663	6554	3316
664	6566	3308
665	6579	3299
666	6591	3290
667	6605	3283
668	6621	3275
669	6633	3267
670	6645	3258
671	6659	3250
672	6674	3243
673	6687	3234
674	6704	3228
675	6718	3220
676	6733	3212
677	6749	3205
678	6760	3196
679	6772	3186
680	6787	3179
681	6801	3171
682	6810	3160
683	6822	3151
684	6836	3143
685	6852	3136
686	6865	3127
687	6875	3117
688	6889	3109
689	6902	3101
690	6916	3092
691	6930	3084
692	6945	3076
693	6963	3070
694	6981	3063
695	7041	3075
696	7057	3067
697	7083	3064
698	7101	3057
699	7119	3051
700	7137	3044
701	7163	3040
702	7179	3032
703	7195	3025
704	7211	3017
705	7222	3007
706	7238	2999
707	7253	2991
708	7270	2984
709	7287	2976
710	7301	2967
711	7318	2960
712	7331	2951
713	7345	2942
714	7360	2934
715	7375	2925
716	7386	2915
717	7403	2907
718	7415	2897
719	7434	2891
720	7453	2884
721	7464	2874
722	7478	2865
723	7494	2856
724	7508	2848
725	7527	2840
726	7542	2832
727	7556	2823
728	7568	2813
729	7583	2805
730	7595	2795
731	7607	2785
732	7622	2776
733	7638	2768
734	7652	2759
735	7669	2750
736	7685	2742
737	7700	2733
738	7714	2724
739	7729	2715
740	7742	2706
741	7757	2697
742	7772	2688
743	7790	2680
744	7802	2670
745	7817	2661
746	7832	2652
747	7847	2643
748	7861	2634
749	7873	2624
750	7888	2615
751	7899	2605
752	7915	2596
753	7929	2587
754	7944	2578
755	7954	2567
756	7969	2558
757	7980	2547
758	7990	2537
759	8002	2527
760	8015	2517
761	8028	2507
762	8042	2498
763	8052	2487
764	8068	2478
765	8081	2468
766	8095	2459
767	8108	2449
768	8123	2440
769	8134	2429
770	8149	2420
771	8161	2410
772	8176	2401
773	8185	2390
774	8197	2380
775	8212	2370
776	8224	2360
777	8234	2349
778	8246	2339
779	8260	2329
780	8272	2319
781	8281	2308
782	8293	2298
783	8308	2289
784	8322	2279
785	8333	2268
786	8347	2259
787	8358	2248
788	8373	2239
789	8387	2229
790	8403	2220
791	8416	2210
792	8429	2200
793	8443	2190
794	8455	2180
795	8470	2170
796	8485	2161
797	8500	2151
798	8515	2142
799	8528	2132
800	8543	2122
801	8557	2112
802	8572	2103
803	8587	2093
804	8603	2083
805	8617	2074
806	8632	2064
807	8646	2054
808	8660	2044
809	8676	2035
810	8690	2025
811	8704	2015
812	8720	2005
813	8734	1995
814	8748	1985
815	8765	1976
816	8778	1966
817	8790	1955
818	8804	1945
819	8820	1936
820	8836	1926
821	8849	1916
822	8865	1906
823	8882	1897
824	8896	1887
825	8913	1877
826	8928	1867
827	8943	1857
828	8959	1848
829	8972	1837
830	8985	1827
831	8998	1817
832	9014	1807
833	9030	1797
834	9044	1787
835	9060	1777
836	9075	1767
837	9086	1756
838	9102	1746
839	9114	1736
840	9129	1725
841	9145	1716
842	9161	1706
843	9177	1696
844	9190	1685
845	9205	1675
846	9221	1665
847	9233	1655
848	9247	1644
849	9261	1634
850	9276	1624
851	9290	1613
852	9304	1603
853	9316	1592
854	9331	1582
855	9347	1572
856	9361	1562
857	9375	1551
858	9388	1541
859	9404	1530
860	9419	1520
861	9431	1509
862	9444	1499
863	9461	1489
864	9475	1478
865	9490	1468
866	9505	1458
867	9521	1447
868	9535	1437
869	9551	1427
870	9565	1416
871	9578	1406
872	9593	1395
873	9606	1384
874	9621	1374
875	9635	1363
876	9651	1353
877	9666	1343
878	9680	1332
879	9695	1322
880	9707	1311
881	9722	1300
882	9736	1290
883	9752	1279
884	9766	1269
885	9780	1258
886	9794	1247
887	9810	1237
888	9824	1226
889	9837	1215
890	9851	1205
891	9864	1194
892	9878	1183
893	9895	1173
894	9909	1162
895	9924	1151
896	9936	1140
897	9949	1130
898	9963	1119
899	9979	1108
900	9990	1097
901	10003	1086
902	10017	1076
903	10030	1065
904	10044	1054
905	10059	1043
906	10072	1032
907	10084	1021
908	10097	1010
909	10110	999
910	10122	988
911	10133	977
912	10146	966
913	10158	955
914	10171	944
915	10182	933
916	10193	922
917	10207	911
918	10220	900
919	10232	889
920	10244	878
921	10255	867
922	10269	856
923	10278	845
924	10291	834
925	10310	823
926	10322	812
927	10337	802
928	10351	791
929	10360	779
930	10374	768
931	10387	757
932	10403	747
933	10419	736
934	10428	724
935	10443	714
936	10458	703
937	10473	692
938	10487	681
939	10501	670
940	10511	659
941	10524	648
942	10537	636
943	10550	625
944	10560	614
945	10574	603
946	10587	592
947	10600	581
948	10613	570
949	10625	559
950	10638	548
951	10651	537
952	10664	525
953	10674	514
954	10687	503
955	10702	492
956	10716	481
957	10728	470
958	10739	459
959	10751	447
960	10765	436
961	10774	425
962	10787	414
963	10803	403
964	10819	392
965	10833	381
966	10847	370
967	10860	359
968	10874	347
969	10891	336
970	10903	325
971	10917	314
972	10933	303
973	10947	292
974	10960	281
975	10972	269
976	10985	258
977	11000	247
978	11014	236
979	11030	225
980	11044	213
981	11059	202
982	11072	191
983	11084	180
984	11098	169
985	11110	157
986	11125	146
987	11139	135
988	11153	124
989	11165	112
990	11178	101
991	11192	90
992	11207	79
993	11221	67
994	11237	56
995	11251	45
996	11263	33
997	11277	22
998	11291	11
999	11304	0
