iter	Logloss
0	0.6721746957
1	0.6528151562
2	0.6352825787
3	0.6187007906
4	0.6025446284
5	0.5883943797
6	0.5744886038
7	0.553422591
8	0.5420381146
9	0.524354199
10	0.514613935
11	0.5055341033
12	0.497232452
13	0.4839255772
14	0.4767854705
15	0.4648502218
16	0.4589487802
17	0.4526521976
18	0.4474290932
19	0.438110021
20	0.4336236001
21	0.4292857156
22	0.4255638249
23	0.4218183249
24	0.418376964
25	0.4145930863
26	0.4114214356
27	0.4088088638
28	0.4063262712
29	0.3997063646
30	0.3974563493
31	0.3915955601
32	0.3889281743
33	0.3870729062
34	0.3849204902
35	0.3828471605
36	0.3806601183
37	0.3790206086
38	0.377205407
39	0.3758079983
40	0.371600925
41	0.370076311
42	0.3687636511
43	0.3651127349
44	0.3638620231
45	0.3629652831
46	0.3599335127
47	0.3588352315
48	0.3575832021
49	0.3563226851
50	0.3550399213
51	0.3539098352
52	0.3529377794
53	0.3519647345
54	0.3510131314
55	0.3483513141
56	0.3472670959
57	0.3461925897
58	0.3450634067
59	0.344404377
60	0.3435236908
61	0.3426679348
62	0.3418759689
63	0.3412825653
64	0.3403174374
65	0.3398394945
66	0.3390774614
67	0.3384006613
68	0.3376942846
69	0.3370920843
70	0.3364773181
71	0.3359033893
72	0.3354556928
73	0.3348412479
74	0.3342380631
75	0.333461059
76	0.3328954997
77	0.3324004088
78	0.3318254586
79	0.3295120082
80	0.3287880961
81	0.3282920984
82	0.3277997734
83	0.3273260203
84	0.3267801361
85	0.3263868085
86	0.3256729098
87	0.3253022825
88	0.3247397005
89	0.3242307859
90	0.3239139047
91	0.3234444542
92	0.3228216156
93	0.3222252751
94	0.3219450691
95	0.321674376
96	0.3212845929
97	0.3209783575
98	0.320603809
99	0.3202259661
100	0.3198711417
101	0.3193839924
102	0.3187978978
103	0.3171010446
104	0.3167304593
105	0.3153693787
106	0.314824147
107	0.3144590586
108	0.314220793
109	0.3138881368
110	0.3136320601
111	0.3134630508
112	0.3131663945
113	0.3128233198
114	0.3125668858
115	0.3122882116
116	0.3118366076
117	0.3114374115
118	0.3111916733
119	0.3109640868
120	0.3105413825
121	0.3102726606
122	0.3099601046
123	0.3097451433
124	0.3095245112
125	0.3091561853
126	0.3087690962
127	0.3084996719
128	0.3083145338
129	0.3081300069
130	0.3078593529
131	0.3076232269
132	0.307429198
133	0.3072357035
134	0.3070556018
135	0.3068047732
136	0.3064759695
137	0.3061668248
138	0.3058870036
139	0.3057002266
140	0.3053418219
141	0.3051966672
142	0.304882124
143	0.3045670434
144	0.3044085931
145	0.3041610702
146	0.3038783055
147	0.3035990881
148	0.3033117583
149	0.3031340956
150	0.3029233457
151	0.3026620401
152	0.3024493399
153	0.3022151425
154	0.3020967404
155	0.3018223533
156	0.3015322607
157	0.3012949094
158	0.3010974326
159	0.300139133
160	0.2999754574
161	0.2997455916
162	0.2987970815
163	0.2985755816
164	0.2983631145
165	0.2982787512
166	0.2981480434
167	0.2979484695
168	0.2976982614
169	0.2975683131
170	0.2974081729
171	0.2971815164
172	0.2969778833
173	0.2968029541
174	0.2966150324
175	0.2963474934
176	0.2960394552
177	0.2959682527
178	0.29573937
179	0.2956424145
180	0.2954879911
181	0.2953123619
182	0.2950555976
183	0.2948620198
184	0.2946551158
185	0.294543933
186	0.2943473304
187	0.2942026625
188	0.2940015343
189	0.2938795949
190	0.2936600456
191	0.293501604
192	0.2932812652
193	0.2931345324
194	0.2930128619
195	0.2928263446
196	0.2926204085
197	0.2924864799
198	0.2923271688
199	0.2922040774
200	0.2919646817
201	0.2917905644
202	0.2916238703
203	0.2914577212
204	0.2913119406
205	0.2910640168
206	0.2909505261
207	0.2907771346
208	0.2907067112
209	0.2905743548
210	0.2904434382
211	0.2902850032
212	0.2901428093
213	0.2899312222
214	0.2897525518
215	0.2896247794
216	0.2895176326
217	0.2893784797
218	0.28928292
219	0.2891666286
220	0.2890056041
221	0.2888356484
222	0.2886903496
223	0.288487695
224	0.2877621157
225	0.287556706
226	0.2873620825
227	0.2872669367
228	0.2866886609
229	0.2865463355
230	0.2864288844
231	0.2862835458
232	0.2861997088
233	0.286064209
234	0.285862287
235	0.2857416505
236	0.2856160843
237	0.2854956597
238	0.2853067938
239	0.2850780585
240	0.2849605572
241	0.2848343245
242	0.2847134662
243	0.2845866784
244	0.2844198283
245	0.2843549537
246	0.2842888416
247	0.2840949507
248	0.2840000296
249	0.2838348837
250	0.2837437759
251	0.2835775958
252	0.2834052459
253	0.2832875443
254	0.2831928574
255	0.2830386164
256	0.2828719355
257	0.2827465621
258	0.2826687883
259	0.2825281235
260	0.2822979538
261	0.2822103995
262	0.2821090819
263	0.2819414571
264	0.2817707165
265	0.2816195579
266	0.2814478565
267	0.2811891136
268	0.2810559745
269	0.2809055893
270	0.2807756403
271	0.2806500454
272	0.2804941017
273	0.2803918341
274	0.2802963551
275	0.2801326436
276	0.2799973897
277	0.2798115352
278	0.2796996748
279	0.279612467
280	0.2795073074
281	0.2793570822
282	0.2791848203
283	0.2790431871
284	0.2788964403
285	0.2786866137
286	0.2785334467
287	0.2784244096
288	0.278354424
289	0.2782436316
290	0.2780514282
291	0.2779461298
292	0.2777329258
293	0.2775492214
294	0.2774171509
295	0.2772880154
296	0.2770383541
297	0.2769039452
298	0.2767684282
299	0.2766014908
300	0.276491526
301	0.2764212617
302	0.2762901614
303	0.2761814492
304	0.2759805331
305	0.2758156302
306	0.2757234371
307	0.2756171032
308	0.2755224415
309	0.2753274725
310	0.2752351251
311	0.2751378223
312	0.2749723998
313	0.2748908936
314	0.2747042228
315	0.2746215027
316	0.2744790123
317	0.2743781723
318	0.2742104195
319	0.2739858058
320	0.2738043334
321	0.2736864821
322	0.2735471287
323	0.2734698256
324	0.2733937481
325	0.2732659398
326	0.2731803534
327	0.2730945952
328	0.2725843794
329	0.2723655622
330	0.2722055699
331	0.2720251653
332	0.2718571916
333	0.2717472793
334	0.2716160977
335	0.2711039627
336	0.2709843302
337	0.2708761171
338	0.2707289487
339	0.2705926445
340	0.2704631216
341	0.2703617199
342	0.2702079669
343	0.270069985
344	0.2699313207
345	0.2697754052
346	0.2696685381
347	0.269574602
348	0.2694533225
349	0.269297304
350	0.2692120894
351	0.2690680993
352	0.2689771413
353	0.2688220134
354	0.2686590611
355	0.2685685189
356	0.2684469639
357	0.268358091
358	0.268221086
359	0.2681033867
360	0.2679594066
361	0.2678574539
362	0.2677585475
363	0.2676190975
364	0.2675054644
365	0.2673897273
366	0.2672033109
367	0.2670696228
368	0.2670175793
369	0.2668941342
370	0.2667100563
371	0.2666147273
372	0.2665193295
373	0.2663747527
374	0.2662346268
375	0.2660938244
376	0.2659717947
377	0.2658790664
378	0.2657798147
379	0.2656120006
380	0.2654738145
381	0.2654009802
382	0.2652971475
383	0.2651637152
384	0.265012641
385	0.2648469039
386	0.2647095933
387	0.2645730291
388	0.2644933131
389	0.2643380804
390	0.2641674988
391	0.2640622537
392	0.2639482139
393	0.2638372525
394	0.2637599833
395	0.2637021529
396	0.2635586008
397	0.2634127669
398	0.2633191837
399	0.2631885554
400	0.2630915228
401	0.2629810128
402	0.26286942
403	0.2627410184
404	0.2625688526
405	0.2624441331
406	0.2623820229
407	0.2622623264
408	0.2621353823
409	0.2620158027
410	0.2619055634
411	0.2617806632
412	0.2616911827
413	0.2615645292
414	0.2614608524
415	0.2613878391
416	0.2613072141
417	0.2611102393
418	0.2610171603
419	0.260913863
420	0.2608060322
421	0.2606472711
422	0.260520177
423	0.2604293048
424	0.2603447365
425	0.2602155199
426	0.2600526954
427	0.259927008
428	0.2598096626
429	0.259652304
430	0.2594824299
431	0.2593643597
432	0.2593117088
433	0.2592183611
434	0.2590976375
435	0.2589216914
436	0.2587908642
437	0.2586561471
438	0.2585476113
439	0.2584255893
440	0.2583355359
441	0.2582456459
442	0.2581394618
443	0.2580432073
444	0.2579608352
445	0.2578585546
446	0.2577732343
447	0.2576735008
448	0.2575483053
449	0.257422131
450	0.2573019004
451	0.2571760006
452	0.2570932583
453	0.2570170731
454	0.2568710807
455	0.256755442
456	0.2566862744
457	0.2565749307
458	0.2564259725
459	0.2563312958
460	0.2561815338
461	0.2560720694
462	0.2559530603
463	0.2558650797
464	0.2557243442
465	0.2556104029
466	0.2555317614
467	0.2554498555
468	0.2553722775
469	0.2552869317
470	0.2551958209
471	0.2551069349
472	0.2549974344
473	0.2548601569
474	0.254721649
475	0.2546233007
476	0.2544767548
477	0.2543635118
478	0.2542476083
479	0.2541253808
480	0.2540377708
481	0.2539328352
482	0.2538270963
483	0.2536867657
484	0.2535699208
485	0.253472909
486	0.2533200471
487	0.2532003103
488	0.2530587187
489	0.252890041
490	0.2527833881
491	0.2526824005
492	0.2525961539
493	0.2524317951
494	0.2523666128
495	0.2522875738
496	0.2522099419
497	0.2520515984
498	0.251875922
499	0.2517329719
500	0.2516435181
501	0.2515338627
502	0.2514405306
503	0.251288251
504	0.2511781011
505	0.2511021787
506	0.2510560451
507	0.2509117006
508	0.2508437937
509	0.2507565551
510	0.250648213
511	0.2505700028
512	0.2504668164
513	0.2503481292
514	0.2502797163
515	0.2501169258
516	0.2499643244
517	0.249876892
518	0.2497889638
519	0.2497006898
520	0.2495708857
521	0.2494824185
522	0.2493748652
523	0.249303469
524	0.2492345266
525	0.2491755576
526	0.2491031405
527	0.2489806895
528	0.2488628484
529	0.2487644601
530	0.2486737593
531	0.2485875727
532	0.2485345959
533	0.2484430584
534	0.248296947
535	0.2482266638
536	0.2481361173
537	0.2480392
538	0.2479595733
539	0.2478832859
540	0.247749346
541	0.2476657819
542	0.2475316456
543	0.247434088
544	0.2472936105
545	0.2471585735
546	0.2470737193
547	0.246985837
548	0.246838248
549	0.2467578376
550	0.2466254861
551	0.2465569594
552	0.2464686477
553	0.2463657227
554	0.2462873115
555	0.2461655443
556	0.2460516341
557	0.2459525073
558	0.2458742193
559	0.2458122289
560	0.2457003822
561	0.2456372598
562	0.2455758421
563	0.2454874907
564	0.2453932888
565	0.2452748117
566	0.2451842125
567	0.2450844572
568	0.2450085304
569	0.2448701846
570	0.2447779909
571	0.2447196997
572	0.2446220173
573	0.2444388357
574	0.2443905793
575	0.2443246489
576	0.2442233316
577	0.2440999967
578	0.2439999336
579	0.2438913225
580	0.2438003526
581	0.2437345284
582	0.2436751035
583	0.2435967138
584	0.2435139885
585	0.2434083851
586	0.2432998402
587	0.2432347595
588	0.2431116581
589	0.242924683
590	0.2428346343
591	0.2427182628
592	0.2425922945
593	0.2424984942
594	0.2424097992
595	0.2423501028
596	0.242285621
597	0.2421851677
598	0.2421211996
599	0.2420054096
600	0.2418856095
601	0.2417877612
602	0.2417174149
603	0.2416158705
604	0.2415351173
605	0.2414267067
606	0.2413358872
607	0.2412198426
608	0.2411466801
609	0.2410186706
610	0.2409491863
611	0.2408136773
612	0.2407183238
613	0.2405736668
614	0.2404981745
615	0.2404138503
616	0.2403066838
617	0.2401711184
618	0.2400745177
619	0.2399489099
620	0.2398630594
621	0.2397701531
622	0.2396591592
623	0.2395848883
624	0.2395102843
625	0.2393953026
626	0.2392977897
627	0.23919648
628	0.2388621118
629	0.2387990746
630	0.2387324462
631	0.2386513465
632	0.2385640679
633	0.2384961982
634	0.2384061139
635	0.2383162152
636	0.2382370724
637	0.2381570648
638	0.2380682155
639	0.2379960256
640	0.2379315865
641	0.2378395484
642	0.2377752037
643	0.2376973968
644	0.2376305444
645	0.2375282531
646	0.2374349182
647	0.2373455877
648	0.2372584501
649	0.2371974861
650	0.2371284924
651	0.2370567168
652	0.2369655493
653	0.2368831432
654	0.2367817326
655	0.2367103705
656	0.2366325202
657	0.2365786207
658	0.2364631958
659	0.2363951884
660	0.2362942211
661	0.2362340105
662	0.2361329603
663	0.2360547198
664	0.2359646817
665	0.2359184978
666	0.2358733574
667	0.235768378
668	0.2356580108
669	0.2356125283
670	0.2354878574
671	0.2353888702
672	0.2353087613
673	0.2352363004
674	0.2351713779
675	0.2349925066
676	0.2348204661
677	0.2347573784
678	0.2346782598
679	0.2346090357
680	0.2344903156
681	0.2344171173
682	0.2343367974
683	0.2341996401
684	0.2340714486
685	0.2339050218
686	0.2338306559
687	0.2337277934
688	0.2336139134
689	0.2335146419
690	0.2334323647
691	0.2333504786
692	0.2332806489
693	0.2331519323
694	0.2330717707
695	0.2329269354
696	0.2328580088
697	0.2327674677
698	0.2327023584
699	0.23263078
700	0.2325600454
701	0.2324672421
702	0.2323875698
703	0.2323006554
704	0.2322208756
705	0.2321378937
706	0.2320180264
707	0.2319338719
708	0.2318657368
709	0.231802046
710	0.2317433149
711	0.2316799592
712	0.231608345
713	0.2314475225
714	0.2313986621
715	0.2313265391
716	0.2312709948
717	0.2311512485
718	0.231074824
719	0.2309977734
720	0.2309085159
721	0.2308436096
722	0.2307718146
723	0.2306928908
724	0.2305373257
725	0.230430282
726	0.2303525258
727	0.2302886555
728	0.2301946744
729	0.2300923582
730	0.230020274
731	0.2299264124
732	0.2298793782
733	0.2297457581
734	0.229631113
735	0.2295712704
736	0.2294754783
737	0.2293894705
738	0.229297093
739	0.2292153478
740	0.2289274491
741	0.2288274601
742	0.2287876389
743	0.2286910695
744	0.2286298433
745	0.2285798269
746	0.2285053714
747	0.2284452566
748	0.2283730483
749	0.2282922978
750	0.2282106965
751	0.2281470265
752	0.2280783901
753	0.2280338572
754	0.2279622785
755	0.2278706237
756	0.2277856752
757	0.2277391662
758	0.2276986255
759	0.2275820044
760	0.2275055967
761	0.2273794707
762	0.2272862029
763	0.2272335075
764	0.2271369907
765	0.2270448418
766	0.2269781273
767	0.2269162391
768	0.2268572005
769	0.2267683761
770	0.226638172
771	0.226542791
772	0.2264816165
773	0.2264365687
774	0.2263630326
775	0.2263068566
776	0.2262170033
777	0.2261345847
778	0.2260434073
779	0.2259732479
780	0.2259394455
781	0.2258705627
782	0.22575423
783	0.2256674584
784	0.2255698749
785	0.2254610722
786	0.2253565291
787	0.2253061721
788	0.2252172128
789	0.2251199247
790	0.2250422843
791	0.2249672824
792	0.2248853829
793	0.2248241406
794	0.2247384783
795	0.2246985105
796	0.2246428735
797	0.2245618697
798	0.2244454943
799	0.2243553847
800	0.2242717915
801	0.2241867724
802	0.2241302325
803	0.2240085741
804	0.2239543189
805	0.2238974261
806	0.2238204023
807	0.2237525011
808	0.2236831825
809	0.2235868766
810	0.2235307954
811	0.223470008
812	0.2233655752
813	0.2232906342
814	0.2231629502
815	0.2231046289
816	0.2230323657
817	0.2229185917
818	0.2228396012
819	0.2227495372
820	0.2226776331
821	0.2225695125
822	0.2224606136
823	0.2223990354
824	0.2223145003
825	0.222243358
826	0.2221775691
827	0.2220442872
828	0.2219543788
829	0.221889173
830	0.221829816
831	0.2217668928
832	0.2216502564
833	0.2215922628
834	0.2214950782
835	0.2214237137
836	0.2213667752
837	0.2212738383
838	0.2211983673
839	0.2210929184
840	0.2210167329
841	0.2209618861
842	0.220810645
843	0.2207423588
844	0.2206521518
845	0.2205936638
846	0.2205093015
847	0.2203828642
848	0.2202952119
849	0.2202545974
850	0.2201949249
851	0.220144711
852	0.2201016479
853	0.2199395808
854	0.2198515545
855	0.2197720758
856	0.2196897217
857	0.2196149238
858	0.2195269209
859	0.2194656707
860	0.219351485
861	0.2192736688
862	0.2191988489
863	0.2191390684
864	0.2190274649
865	0.2189200323
866	0.2188868751
867	0.2188297269
868	0.2186797438
869	0.2186230525
870	0.2185620623
871	0.218467923
872	0.2183831629
873	0.21832088
874	0.2182592179
875	0.2181544063
876	0.2180808799
877	0.2179672338
878	0.2179002453
879	0.2178348138
880	0.2177802764
881	0.2176817515
882	0.2176142819
883	0.217535001
884	0.2174617786
885	0.2174135719
886	0.2172816896
887	0.217225818
888	0.2171732876
889	0.2170959401
890	0.2170436132
891	0.2169085219
892	0.216845763
893	0.2167545612
894	0.2166764331
895	0.2166010786
896	0.2165294005
897	0.2164565403
898	0.216367934
899	0.2162920546
900	0.2162357733
901	0.2161762077
902	0.216128646
903	0.2160814145
904	0.2160272376
905	0.2159640332
906	0.2158986386
907	0.2158016156
908	0.2157092641
909	0.2156271335
910	0.2155615431
911	0.2155282491
912	0.2154959833
913	0.2154054326
914	0.2153476381
915	0.2152901807
916	0.2152109176
917	0.2151236252
918	0.2150338299
919	0.2148263081
920	0.2147340676
921	0.2146558059
922	0.2146040612
923	0.2145562797
924	0.2144899169
925	0.2143839948
926	0.214319447
927	0.2142421017
928	0.2141914302
929	0.2141001015
930	0.2140106822
931	0.2139548326
932	0.2138833646
933	0.2138408576
934	0.2137848077
935	0.2137377985
936	0.2136824147
937	0.2135905557
938	0.2135548353
939	0.2134715069
940	0.2133954475
941	0.2133190617
942	0.2132052776
943	0.2131632539
944	0.2130529011
945	0.2130050174
946	0.2129485301
947	0.2128244772
948	0.2127740514
949	0.2126800223
950	0.2126049354
951	0.2125068637
952	0.2124074333
953	0.2122977798
954	0.2122128592
955	0.2120745993
956	0.2120065611
957	0.2119450487
958	0.2118847578
959	0.2118014901
960	0.2117134474
961	0.2116493242
962	0.2115765982
963	0.211469867
964	0.2113796493
965	0.2112929149
966	0.2112399516
967	0.2111924123
968	0.2111222171
969	0.2110386701
970	0.210967722
971	0.2108241854
972	0.2106974207
973	0.2106220488
974	0.210550305
975	0.2104523563
976	0.2103560598
977	0.2102994157
978	0.2101757398
979	0.210103506
980	0.2100025554
981	0.2099489919
982	0.2099132077
983	0.209832953
984	0.209788809
985	0.2097401267
986	0.2096084006
987	0.2095247622
988	0.2094459528
989	0.2093512977
990	0.2092410888
991	0.2091696554
992	0.2091039881
993	0.2090310874
994	0.2089045333
995	0.208826383
996	0.2087724047
997	0.208679832
998	0.2085719625
999	0.2084724685
